,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview,Time Series,Sampling Rate,Log Mel,MFCC,Genre
0,62nQ8UZVqR2RMvkJHkcO2o,318226,False,72,0.285,0.846,2,-6.472,1,0.0438,0.0404,0.0,0.182,0.287,108.808,4,https://p.scdn.co/mp3-preview/c5742cc09643dc0704b397d938b425c575f89b57?cid=28588cda247f4f599396da1ad5712d00,"[-0.08670287 -0.23489232 -0.26327035 ... -0.00612645  0.11568828
  0.21232346]",22050,"[[ 16.351944   12.501945    7.521196  ...   7.9026747   6.0412025
   12.055202 ]
 [ 19.080627   20.527103   20.628948  ...  21.157629   21.192934
   21.577744 ]
 [ 19.093508   17.990631   19.953527  ...  15.092482   15.551079
   16.733116 ]
 ...
 [-30.060823  -33.181908  -27.232254  ... -12.8796015 -12.040733
  -10.122683 ]
 [-29.632416  -29.746351  -29.32832   ... -16.52408   -15.272285
  -15.367364 ]
 [-29.199133  -33.511475  -35.993958  ... -26.312057  -26.075054
  -27.000635 ]]","[[-1.3252916   1.584266   -0.52864945 ... -0.25924048 -2.091582
   0.10584632]
 [-1.0188955   1.6154166  -1.1110224  ...  0.54592705 -1.7962459
  -0.8188781 ]
 [-0.8922382   2.2343044  -1.1677836  ...  0.26505306 -1.0539254
  -1.2938828 ]
 ...
 [-0.56620806 -1.0643448   0.6454986  ... -0.00521482  0.03201284
   0.25337458]
 [ 0.250928   -1.3263555   0.9529802  ...  0.15797937 -0.4394353
   0.09350421]
 [ 1.6857349   0.3961689   1.4909774  ... -0.19972354  0.31344298
   0.2032689 ]]",Rock
1,59WN2psjkt1tyaxjspN8fp,313573,True,78,0.466,0.833,7,-4.215,1,0.304,0.0266,0.0,0.0327,0.6609999999999999,88.785,4,https://p.scdn.co/mp3-preview/af0c42e6dacc0b8bb43c269ea2075c3de3ee2c7a?cid=28588cda247f4f599396da1ad5712d00,"[-0.17826098 -0.44856685 -0.40792686 ...  0.07736276 -0.12866372
 -0.25634634]",22050,"[[ 16.86778   12.591039  15.987344 ...  19.579939  22.835276  20.532858]
 [ 21.93096   20.257858  26.972755 ...  33.120617  29.222763  21.630114]
 [ 16.90091   24.86829   27.145393 ...  33.88821   27.021755  19.650787]
 ...
 [-12.409901 -12.276296 -12.177448 ... -17.34501  -18.785637 -23.320805]
 [-18.852446 -15.546286 -15.402742 ... -20.15844  -21.724445 -25.109074]
 [-21.85205  -24.640808 -27.04726  ... -32.236618 -34.608017 -39.141403]]","[[ 0.11372606  0.08615832 -0.35163376 ... -0.89387757  0.64614254
  -0.29393297]
 [ 0.04418328 -0.06321482 -0.30445644 ... -1.0746558   0.5601866
   0.6659721 ]
 [-0.18677233  0.07292181 -0.605189   ... -0.6377563   0.35694754
   1.0348481 ]
 ...
 [-0.41417587  0.8423995  -1.0960004  ...  0.9763418  -0.31245705
   1.3086182 ]
 [-1.1193303   0.84620523 -1.285365   ...  0.20867214 -0.55291015
   2.0524676 ]
 [-1.5881045   0.8939953  -0.8940664  ... -0.4013058  -0.39893162
   1.6639587 ]]",Rock
2,3d9DChrdc6BOeFsbrZ3Is0,264306,False,81,0.5589999999999999,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=28588cda247f4f599396da1ad5712d00,"[ 0.00421489  0.00754996 -0.0057601  ...  0.12584919  0.12880081
  0.09638286]",22050,"[[  6.358962    0.6880936  -4.500276  ...  -3.9462533   6.2953844
   13.291329 ]
 [  7.1486235   2.615641    0.6561443 ...   7.487166   17.87322
   21.41724  ]
 [ 14.354987   11.192514    8.816833  ...  12.096128   18.765003
   16.231134 ]
 ...
 [-41.808746  -34.660458  -35.275658  ... -21.83798   -23.208437
  -28.552963 ]
 [-46.797867  -41.00138   -41.843063  ... -24.006313  -25.873398
  -33.058846 ]
 [-51.273     -49.512062  -50.242123  ... -38.00774   -41.362034
  -44.29032  ]]","[[-0.7108547   2.326403    0.13749614 ...  1.6860834   0.63067293
   2.6505604 ]
 [-0.65111315  1.8840425   0.13602717 ...  0.9642886   0.3521974
   1.4855505 ]
 [-0.8606437   1.5817884   0.03849221 ...  0.6791238  -0.15364666
   0.83519053]
 ...
 [ 1.3535188  -0.16521    -0.7633369  ... -0.09096842  0.05311054
   0.5867805 ]
 [ 1.3236544   0.04847314 -0.53422713 ...  0.580568    0.7079311
   0.46529788]
 [ 0.6424791   1.1372157  -0.7891565  ...  0.9563296   0.9826132
   0.15368532]]",Rock
3,5jafMI8FLibnjkYTZ33m0c,257480,False,73,0.418,0.383,4,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.35200000000000004,87.773,4,https://p.scdn.co/mp3-preview/7cc39826315239401b8bac4317c14c35ecdbcd58?cid=28588cda247f4f599396da1ad5712d00,"[ 0.00233941 -0.05824094 -0.08615264 ...  0.01812677  0.04271612
  0.06381527]",22050,"[[  5.6829166    0.66769683  -9.947701   ...   5.7342954    6.903081
   12.753473  ]
 [ 10.765833    11.457429    11.118536   ...  19.054358    19.692354
   19.550821  ]
 [ 15.458423    19.482807    17.659101   ...  14.012781    15.155779
   15.141642  ]
 ...
 [-29.922426   -26.548365   -19.713266   ... -31.314142   -31.221024
  -31.52903   ]
 [-28.427502   -29.566214   -25.456738   ... -35.689415   -37.47849
  -37.381092  ]
 [-45.27295    -45.218807   -38.555325   ... -51.60623    -51.60623
  -45.324753  ]]","[[-0.13802534  1.5003488  -0.9672888  ... -0.15601481 -0.80570525
   1.4302292 ]
 [ 0.15853287  1.5508476  -1.1118222  ...  0.23231319 -0.3789168
   0.57335204]
 [ 0.5471673   0.84637654 -0.78613853 ...  0.9779244   0.8878396
  -0.4564662 ]
 ...
 [-1.9904374   0.8915296   1.3351972  ...  2.938099    0.47377485
  -0.43445274]
 [-2.2438304   0.9207976   1.3648442  ...  2.9773865  -0.22215322
  -0.46010518]
 [-2.4044404   1.1727988   1.4234662  ...  3.099476   -0.38747674
  -0.44229713]]",Rock
4,4PtZE0h5oyPhCtPjg3NeYQ,255573,False,64,0.527,0.838,3,-6.013,1,0.0323,0.0206,0.000662,0.07,0.721,117.454,4,https://p.scdn.co/mp3-preview/b1dd1977653f3668f1f1451a7ad23b0eeca22587?cid=28588cda247f4f599396da1ad5712d00,[0.00301426 0.09424075 0.3024647  ... 0.31501776 0.27750754 0.28413966],22050,"[[  8.955857    8.933042   11.030407  ...   5.8058224   6.992931
    6.5963883]
 [ 16.734766   14.1643915  17.415144  ...  14.7752495  15.91009
   12.454734 ]
 [ 13.61621    13.840456   13.629666  ...  13.330872   17.655514
   20.325378 ]
 ...
 [-33.14846   -26.858547  -23.072836  ... -12.705376  -13.693621
  -17.987846 ]
 [-42.929382  -39.186283  -26.376793  ... -16.746405  -16.488483
  -19.971897 ]
 [-47.689938  -47.689938  -41.81861   ... -29.508772  -30.777912
  -36.608932 ]]","[[ 0.81574196  0.33509174 -2.310551   ...  0.90992874 -0.1995411
  -1.1942742 ]
 [ 0.90952337  0.50513875 -2.0037124  ...  1.2643924   0.6003021
  -0.8379575 ]
 [ 0.79506975  0.23769881 -1.6357614  ...  1.3860576   1.2485833
  -0.4037248 ]
 ...
 [ 1.3641275  -0.25561798  0.7548363  ... -1.7073635  -2.1680841
  -1.0967162 ]
 [ 0.6618968  -0.5972807   1.1465708  ... -1.3847276  -0.9464634
  -0.5630559 ]
 [ 0.19159624 -0.29024804  1.1791633  ... -0.8182067  -0.7016525
  -0.25631955]]",Rock
5,5wj4E6IsrVtn8IBJQOd0Cl,258732,False,71,0.3720000000000001,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53,4,https://p.scdn.co/mp3-preview/658627c1c2fb5f9a89ce556ead028b7cebd297c6?cid=28588cda247f4f599396da1ad5712d00,"[-0.29099104 -0.44376266 -0.28004053 ... -0.3531123  -0.26863098
 -0.04240668]",22050,"[[ -1.7461553  -5.4337573   0.7629147 ...   3.8330216   5.408153
   15.103084 ]
 [  7.81493     8.947181   15.574215  ...  26.632689   24.216234
   25.02351  ]
 [ 12.533647   10.83559    20.548386  ...  32.65219    30.65408
   30.07455  ]
 ...
 [-19.044153  -23.839012  -18.98165   ... -19.9856    -20.357311
  -19.32459  ]
 [-17.884499  -23.299862  -18.247498  ... -31.109383  -33.47648
  -30.615332 ]
 [-18.871517  -24.78516   -26.934927  ... -44.12287   -44.12287
  -31.988274 ]]","[[-1.426831    1.3272021  -1.0956378  ... -0.31253228  0.18063314
  -0.01548292]
 [-1.863702    1.2020403  -0.9676405  ... -0.27133116  0.51874244
   0.26939693]
 [-1.2169106  -0.54184246  0.4479907  ... -0.10620078  1.1394364
   0.6908806 ]
 ...
 [-0.01949684  0.29563132 -0.36189845 ...  0.18827651  0.9588469
   1.0543668 ]
 [ 0.05023501  0.5386219  -0.37102336 ...  0.21383347  0.70075977
   1.2317034 ]
 [ 0.46661985  0.25249892 -0.3724481  ... -0.07365326  0.23083659
   0.67352337]]",Rock
6,3LRJbFT9rKoKv4aW7PuBJC,233240,True,66,0.381,0.732,10,-7.5939999999999985,0,0.0536,0.00834,0.0101,0.0854,0.8140000000000001,142.504,4,https://p.scdn.co/mp3-preview/3e0df002c12cc9f72b54d1b2e522e48e7939a3b2?cid=28588cda247f4f599396da1ad5712d00,"[ 0.03014369  0.04913979  0.00285334 ... -0.11525551 -0.13974987
 -0.1587593 ]",22050,"[[ 15.533242    9.511835   -4.323599  ...   1.7413371  12.447858
   18.729933 ]
 [ 23.128529   19.675156   17.84768   ...  16.646658   25.264904
   29.228886 ]
 [ 22.296947   19.33176    23.302801  ...  18.431774   30.817907
   33.426334 ]
 ...
 [-14.059774  -14.385781  -12.493984  ... -20.775564  -16.901062
  -19.954277 ]
 [-21.645966  -19.153513  -19.69928   ... -23.497883  -24.921284
  -22.076836 ]
 [-34.573025  -35.41961   -34.474525  ... -32.90424   -29.824856
  -30.011776 ]]","[[-1.1679145   0.34019095  0.13880508 ...  0.11871129 -0.53378487
   1.0772976 ]
 [-0.7463507   0.5951662   0.0640342  ... -0.04481199  0.01494372
   0.7046258 ]
 [-0.2877107   0.66350436  0.00752695 ... -0.63373613 -0.33472565
  -0.22466294]
 ...
 [-1.6769621   0.35477656 -0.32369387 ... -0.03305288  0.58308643
  -0.6478628 ]
 [-1.2734023   0.78861463 -0.10756174 ...  0.8633298   1.5046088
  -0.14039356]
 [-1.7760069   1.1099491   0.06317835 ...  0.9763275   1.4886672
   0.35039222]]",Rock
7,2TAQ9YGehOKWDqDak5DuXc,310346,False,61,0.423,0.954,7,-3.157,0,0.047,0.0021,0.0,0.177,0.5,144.553,4,https://p.scdn.co/mp3-preview/07a93f3d46460d4d11a6365c755d1d607ed6e6d3?cid=28588cda247f4f599396da1ad5712d00,"[-0.20272563 -0.48605657 -0.5194965  ...  0.3844646   0.1991435
  0.44970447]",22050,"[[ 27.247673   25.062931   19.798021  ...  24.542053   23.09521
   20.771736 ]
 [ 28.637087   29.61629    26.510172  ...  32.313274   27.313023
   26.161377 ]
 [ 28.143072   24.763882   23.420906  ...  29.705084   27.810553
   27.81288  ]
 ...
 [-10.589808   -7.165398   -3.717133  ...  -5.7413335  -5.322793
   -6.0679464]
 [-16.11938   -17.19222   -15.170357  ... -14.396574  -10.730574
  -11.641897 ]
 [-21.430311  -25.705568  -24.638483  ... -27.380754  -26.006214
  -26.036285 ]]","[[ 0.7298583   0.14577037 -0.59959817 ...  1.1936976   1.2352889
   0.5522161 ]
 [ 1.1103778  -0.13617243 -0.08293802 ...  0.71978694  1.1285232
   1.6486073 ]
 [ 0.9884809  -0.5087034   0.27752644 ...  0.12900269  1.002552
   1.4022995 ]
 ...
 [-0.82313776  0.01310069  0.24730092 ...  1.8565766   1.5160421
   1.197582  ]
 [-0.61530954 -0.09345763  0.63295096 ...  0.79774284  1.6959115
   0.8656486 ]
 [-0.52841246 -0.29354307  0.9489437  ...  0.15500017  0.80105025
   0.6753836 ]]",Rock
8,51Gkc1TxvyQ9K8y0pQRmQM,213293,False,56,0.6829999999999999,0.9,7,-7.506,1,0.105,0.0146,0.0706,0.29600000000000004,0.616,103.625,4,https://p.scdn.co/mp3-preview/ea0a2d17e5933e97e40aa6cea494dd0f0c1d44b1?cid=28588cda247f4f599396da1ad5712d00,"[-0.02834212 -0.13558105 -0.28136882 ...  0.00307729 -0.02453386
 -0.02175472]",22050,"[[ 19.310553   16.515875   11.411922  ... -23.861017  -14.119526
   -9.736687 ]
 [ 21.38212    20.642183   18.706678  ... -13.87925   -11.62129
   -1.9449769]
 [ 10.412189   13.54273    14.156923  ...   6.832948    7.6958346
   11.200653 ]
 ...
 [-27.84896   -29.010096  -23.577425  ... -33.43472   -31.27691
  -27.498474 ]
 [-26.033852  -27.309534  -27.13263   ... -38.558617  -35.357025
  -31.98656  ]
 [-32.072937  -33.80217   -34.409645  ... -45.002693  -45.290573
  -42.421837 ]]","[[ 0.6333938   0.19380698 -0.5831907  ...  1.3044338   0.43704364
  -0.05143441]
 [ 0.28413153 -0.03170899 -0.47817716 ...  1.4204065   0.29345277
  -0.19623125]
 [-0.22201666 -0.49465084 -0.22049357 ...  0.8595625   0.11720319
  -0.8085933 ]
 ...
 [-2.0946681   0.6687538  -0.09836542 ... -0.49655864 -2.318932
  -1.0820782 ]
 [-1.9276013   1.6113081   0.7472618  ... -1.2449313  -1.7721615
  -0.54038596]
 [-2.2231863   0.59409964  1.6084987  ... -0.7752493  -0.87920135
   0.27766472]]",Rock
9,1FTSo4v6BOZH9QxKc3MbVM,121160,False,74,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,4,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=28588cda247f4f599396da1ad5712d00,"[ 0.00818979  0.01217323  0.01745132 ... -0.02135093 -0.02131905
 -0.02262267]",22050,"[[ -7.132044   -13.052998   -20.382185   ... -21.89404    -21.175177
  -18.138523  ]
 [  1.926036    -3.3584569  -10.13839    ... -15.17736    -13.720174
  -14.483234  ]
 [  4.5607867    0.83223045  -5.3659763  ... -10.938097    -5.1332197
    0.4345228 ]
 ...
 [-30.24569    -27.773027   -28.857634   ... -34.15257    -35.73667
  -42.674274  ]
 [-37.35589    -34.532745   -35.50405    ... -39.503716   -40.301785
  -47.937866  ]
 [-47.937866   -47.87127    -45.185165   ... -47.937866   -47.937866
  -47.937866  ]]","[[-3.9885182  -0.59522754  2.6163692  ...  1.0591872   0.5491511
  -0.37281007]
 [-3.8600278  -1.1742666   2.8650417  ...  1.0920441   0.53790355
  -0.17484045]
 [-3.9119072  -1.704267    2.656841   ...  1.3329912   0.5837399
  -0.28552458]
 ...
 [-2.1405852   0.9893826  -0.7218746  ... -1.0053849  -2.2763658
  -3.3279338 ]
 [-2.5360124   0.9347075  -0.40420404 ... -0.32177567 -1.8103034
  -2.6883144 ]
 [-3.2147002   1.3985751   0.76362824 ...  0.19587772 -2.1847966
  -1.9551907 ]]",Rock
