,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
37,0Jr2u6Boq38ZxeO9fekUL3,296506,False,42,0.0629,0.183,0,-17.546,1,0.145,0.604,0.865,0.109,0.0273,69.583,4,https://p.scdn.co/mp3-preview/4b215ce8479fd204541246d50121dbcf702ba75e?cid=28588cda247f4f599396da1ad5712d00
38,2d6ml9Qkx8r4EjuUyrdpRV,286986,False,54,0.261,0.0149,1,-27.528,1,0.0419,0.992,0.897,0.102,0.0382,75.296,4,
39,1AmtjiQt97lpA5inWCdzIy,474213,False,41,0.12,0.0078,5,-31.416,0,0.0444,0.894,0.852,0.369,0.03,149.964,3,https://p.scdn.co/mp3-preview/58db7e6e34609b3328d53c156c6a4ce3ea290cfc?cid=28588cda247f4f599396da1ad5712d00
40,6Y5MWmnE9iECH7t2gOKUVl,60011,False,34,0.163,0.0377,5,-21.536,1,0.0371,0.869,0.633,0.128,0.0354,70.11,4,https://p.scdn.co/mp3-preview/d540f306ec955577f2f07df96946ab6a764671ac?cid=28588cda247f4f599396da1ad5712d00
41,5dqX3SxRRVVrz6FAXR95H7,493906,False,41,0.216,0.0897,8,-21.605,1,0.0477,0.914,0.073,0.0844,0.0628,132.059,4,https://p.scdn.co/mp3-preview/e344a64802178f1e0284c4439868ea856e3af959?cid=28588cda247f4f599396da1ad5712d00
42,2MSgFefjK0T7Iwjvr3OKqV,259493,False,65,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,4,https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=28588cda247f4f599396da1ad5712d00
43,0Tx61KMDoqr3uNMhNcXXhB,267306,False,44,0.267,0.0152,3,-31.308,1,0.0448,0.952,0.578,0.0979,0.248,128.427,4,
44,1Zv6RyHM08gyC4qvOlCZUL,267533,False,55,0.299,0.0319,2,-30.624,1,0.0603,0.994,0.928,0.105,0.0975,105.922,4,https://p.scdn.co/mp3-preview/2f5b4cd3a3d57e4e580c9aa7344d28825fc02e8c?cid=28588cda247f4f599396da1ad5712d00
45,0VEf913GDXMlb196o6VOCV,76133,False,55,0.224,0.0265,5,-27.292,1,0.0468,0.981,0.982,0.101,0.0623,81.364,3,
46,1LFshblNG5R1mtzWLjfeFm,616813,False,41,0.22,0.031,5,-24.154,0,0.0426,0.864,0.714,0.11,0.071,109.328,4,https://p.scdn.co/mp3-preview/3ddfe0ba461b9795ec86773ffc4e696d9eea7280?cid=28588cda247f4f599396da1ad5712d00
47,2YarjDYjBJuH63dUIh9OWv,433800,False,64,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,4,https://p.scdn.co/mp3-preview/e2b78e7d24fa4d5a278154f34e8d753cc0e7c79a?cid=28588cda247f4f599396da1ad5712d00
48,6IjoiTqAOtMNOA2KOEm2b9,227426,False,4,0.131,0.0208,2,-28.56,1,0.0491,0.987,0.0363,0.0686,0.128,86.952,5,
49,3DgnENTljyXXBI8jI6xbpo,292253,False,24,0.295,0.116,0,-20.255,1,0.0373,0.949,0.908,0.0636,0.0768,73.579,4,
50,1Wy5fW4R9zU0wQcC7ufHxi,166000,False,40,0.366,0.00713,2,-30.181,1,0.0526,0.995,0.963,0.0705,0.036,67.461,5,
51,6Uk28Hs2MulezLxMrd1rBD,337253,False,10,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,1,
52,17oLsEzzlGFlrBKViCzmGc,286666,False,14,0.479,0.174,10,-18.021,0,0.0371,0.952,0.841,0.115,0.296,103.577,4,
53,1KM99JjxJzU26mwwcLpAPo,300160,False,40,0.163,0.0203,9,-32.112,0,0.0475,0.898,0.217,0.0757,0.0353,131.124,3,https://p.scdn.co/mp3-preview/f89d326d326c8d66b5d7adfedaca47cd4971ea28?cid=28588cda247f4f599396da1ad5712d00
54,0LrA0EtiJsr4tDHIGw82OW,327573,False,48,0.109,0.0693,8,-21.196,1,0.0388,0.986,0.931,0.13,0.0411,58.869,4,https://p.scdn.co/mp3-preview/fcefc48d275ed9e299b8a2fe6b68eaefc0659d5d?cid=28588cda247f4f599396da1ad5712d00
55,3g98x0UrsfWzpiRR2gmLtR,174800,False,42,0.0655,0.0137,9,-34.624,1,0.0498,0.953,0.824,0.108,0.0328,71.339,4,
56,48I99KUopQ2TOvU3uFL0rz,561000,False,3,0.38,0.0342,7,-29.643,1,0.039,0.992,0.948,0.107,0.21,109.011,4,
57,5FOHBhUtWl2x5Z6qflA8nd,349920,False,51,0.147,0.0457,0,-19.188,1,0.042,0.96,0.927,0.106,0.0364,138.942,1,https://p.scdn.co/mp3-preview/734a6935321893dbfd3b1898b88c4f9979e65f5c?cid=28588cda247f4f599396da1ad5712d00
58,6iRcn4yPiXhcEBEM7OUaNt,379400,False,44,0.0982,0.0575,6,-24.448,0,0.0454,0.984,0.904,0.122,0.0392,70.041,4,https://p.scdn.co/mp3-preview/273dfc184827418385e7fff72e414807f6141e1d?cid=28588cda247f4f599396da1ad5712d00
59,24Y4um6M2d4huD6Lx4aHcv,456400,False,45,0.312,0.0482,2,-25.766,1,0.0436,0.98,0.95,0.123,0.0722,111.59,4,https://p.scdn.co/mp3-preview/7111392e8ba1575caa247989c89b0e753089f2f1?cid=28588cda247f4f599396da1ad5712d00
60,0EKPj41uhOc0r0UjkKbjsm,179133,False,42,0.183,0.0075,0,-33.087,1,0.0395,0.974,0.59,0.0731,0.127,66.333,4,
61,1DdyioI2yXhLwR1pn5Hczk,187466,False,59,0.18,0.0382,2,-22.028,0,0.0452,0.983,0.0141,0.15,0.0593,69.897,3,https://p.scdn.co/mp3-preview/09186e7f924b49cf7948a1f4d6bc363c04b540dc?cid=28588cda247f4f599396da1ad5712d00
62,1ykbtFnlIjmIFnZ8j6wg6i,440800,False,63,0.131,0.137,2,-20.553,1,0.0387,0.934,0.485,0.087,0.0465,78.577,4,https://p.scdn.co/mp3-preview/b8991c3e03009c4e47490a30e08e0059e72310b5?cid=28588cda247f4f599396da1ad5712d00
63,32Icp7aedxQEHmvPPGrOFd,214853,False,52,0.195,0.00736,0,-28.34,1,0.0355,0.867,0.738,0.0786,0.0382,42.313,4,https://p.scdn.co/mp3-preview/d8174ad80e2fbf0e04c529c0f0e21dfdebb05ef1?cid=28588cda247f4f599396da1ad5712d00
64,42gZM6AQ9BDMaTyTmMDVlN,255693,False,64,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,1,
65,4u2qyRFTBYm3Se02t0Ki7d,240120,False,49,0.146,0.154,5,-16.92,1,0.0449,0.808,0.648,0.124,0.0383,143.625,4,https://p.scdn.co/mp3-preview/09eb2afa62fe05632712c632d4cb2a656bff5d84?cid=28588cda247f4f599396da1ad5712d00
66,5KhznZQE9EbrmXx2Q9WUZM,256586,False,39,0.209,0.0407,5,-20.998,1,0.045,0.995,0.894,0.109,0.0788,66.236,3,https://p.scdn.co/mp3-preview/b8ec475e1e858122f3fe56cfdf3fa2f8248f0ead?cid=28588cda247f4f599396da1ad5712d00
67,4O2N861eOnF9q8EtpH8IJu,140733,False,58,0.484,0.192,2,-15.378,1,0.0465,0.991,0.908,0.106,0.0559,100.084,4,https://p.scdn.co/mp3-preview/b6f6af8e3b58fb0fee23108124a26a397f88a94b?cid=28588cda247f4f599396da1ad5712d00
68,66EIPOdC3UZZCJdiUSRo92,91493,False,51,0.222,0.117,2,-20.966,1,0.0433,0.905,0.919,0.111,0.0883,91.624,1,https://p.scdn.co/mp3-preview/26dd3de4e16b09abe899706b95e04cfd06143390?cid=28588cda247f4f599396da1ad5712d00
69,4mnbrrduAIy9ZyNoi4byOU,327933,False,43,0.0905,0.00523,1,-28.178,1,0.0412,0.979,0.879,0.0615,0.0307,71.001,3,https://p.scdn.co/mp3-preview/eb703d2efb77e8bc8ed3259c86041842f272ed0b?cid=28588cda247f4f599396da1ad5712d00
