,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
42,22Yq5tkMN8JE7h1Bq3pWHS,233199,False,57,0.775,0.451,1,-9.164,1,0.0567,0.296,6.31e-06,0.123,0.559,92.986,4,https://p.scdn.co/mp3-preview/ed69b846892b81441a85d7a4036c743527e0789f?cid=28588cda247f4f599396da1ad5712d00
43,6PhOzQShyz2vjELsXax7TQ,322266,True,3,0.822,0.545,7,-7.933,1,0.445,0.204,2.71e-06,0.105,0.564,87.985,4,
44,7bp5DfkdK1OAvNJ1U4HfDA,209973,True,64,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43e-06,0.161,0.72,92.09,4,
45,0JSCZdPOPR7d8Mfi09tIxU,288560,True,59,0.567,0.678,7,-8.442,1,0.209,0.0192,1.61e-06,0.113,0.777,90.866,4,https://p.scdn.co/mp3-preview/8f73d216f4fe0fc29d42e70ed8d9945eaa57aa16?cid=28588cda247f4f599396da1ad5712d00
46,1B53Y95tPd4ah4FExO0egE,357200,True,60,0.885,0.414,0,-10.539,1,0.168,0.341,0.000289,0.0891,0.683,92.727,4,
47,0WKYRFtH6KKbaNWjsxqm70,211493,True,67,0.549,0.853,7,-4.293,1,0.188,0.0285,0.000296,0.618,0.346,94.695,4,
48,0PV1TFUMTBrDETzW6KQulB,286440,False,68,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4,https://p.scdn.co/mp3-preview/6ecf306fb723efa349b79de01a4076e2a8896902?cid=28588cda247f4f599396da1ad5712d00
49,6SI4JD7iyQ0rrudhCNtMv0,253226,True,63,0.683,0.902,1,-7.389,0,0.291,0.219,0.000761,0.226,0.724,90.447,4,https://p.scdn.co/mp3-preview/ccdc7b9141911228e4f0794e90e95616739db7e0?cid=28588cda247f4f599396da1ad5712d00
50,1KFIhbTUmGKUG1wUw5M8Am,226800,True,55,0.858,0.767,7,-8.645,1,0.302,0.00666,0.0,0.0489,0.751,91.522,4,
51,1rylJ0VXvhOzLGNm401iaI,310226,True,61,0.671,0.737,0,-5.131,1,0.108,0.0338,0.00344,0.0596,0.197,90.519,4,
52,0trHOzAhNpGCsGBEu7dOJo,293973,True,64,0.665,0.91,6,-4.682,0,0.223,0.0394,0.0,0.227,0.887,84.099,4,https://p.scdn.co/mp3-preview/1a15b1a2287238a4b124d712af2eeac1d6e5b3a2?cid=28588cda247f4f599396da1ad5712d00
53,3MX96tMiJxVu7lQWKbgo2c,277133,False,39,0.849,0.476,0,-10.479,1,0.445,0.0966,0.0,0.105,0.48,83.21,4,https://p.scdn.co/mp3-preview/a854e2440f09241e16e1390e7a6a3a0930a4deeb?cid=28588cda247f4f599396da1ad5712d00
54,1Sgj10byiGzPpI2IrXSFEn,291066,True,66,0.817,0.552,8,-10.8,0,0.386,0.032,7.17e-06,0.826,0.808,102.011,4,https://p.scdn.co/mp3-preview/e1e046ca91cf927e535ba512aad294f4f6f4109c?cid=28588cda247f4f599396da1ad5712d00
